product_url,product_color,product_image,product_image_main,product_title,product_description,product_price,image_path
https://www2.hm.com/en_in/productpage.0963662001.html,White,,"https://lp2.hm.com/hmgoepprod?set=source[/06/54/06545ac0f4883fd932ccb9d2a8178201919742d3.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[y],hmver[2]&call=url[file:/product/fullscreen]",Cotton T-shirt,,Rs.599.00,/content/drive/MyDrive/images_temp_1000/170be009-de8b-4f9d-8aa0-853cf3c1a0db.jpg
https://www2.hm.com/en_in/productpage.1217677005.html,Black/Patterned,,"https://lp2.hm.com/hmgoepprod?set=source[/44/26/44263f42754919321e3f75770ddb59553f7b8334.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[y],hmver[2]&call=url[file:/product/fullscreen]",Wide pull-on trousers,,"Rs.1,499.00",/content/drive/MyDrive/images_temp_1000/07c7b675-765e-4540-a3ea-eee4ab2664b6.jpg
https://www2.hm.com/en_in/productpage.1138003003.html,Black,,"https://lp2.hm.com/hmgoepprod?set=source[/6d/9f/6d9f618c534bcc7f895242c3fd608760afdc84cb.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[y],hmver[2]&call=url[file:/product/fullscreen]",Linen-blend pull-on trousers,,"Rs.1,499.00",/content/drive/MyDrive/images_temp_1000/9fa08b70-1dc4-403d-bb5e-0b72efc238a0.jpg
https://www2.hm.com/en_in/productpage.1219130005.html,Blue/Floral,,"https://lp2.hm.com/hmgoepprod?set=source[/70/4e/704e4beedae23983cf6d6d61bfac432c15aeb320.jpg],origin[dam],category[ladies_shirtsblouses_blouses],type[DESCRIPTIVESTILLLIFE],res[y],hmver[2]&call=url[file:/product/fullscreen]",Balloon-sleeved blouse,,"Rs.1,299.00",/content/drive/MyDrive/images_temp_1000/41db81a6-86bf-43cc-965d-c0833e4a66d3.jpg
https://www2.hm.com/en_in/productpage.1221690004.html,Light blue,,"https://lp2.hm.com/hmgoepprod?set=source[/63/07/6307a8a94de641a4ee5af0b6e5cac10764eef4ba.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[y],hmver[2]&call=url[file:/product/fullscreen]",Square-neck jersey top,,Rs.799.00,/content/drive/MyDrive/images_temp_1000/9e201574-c51c-426f-88b1-abc4f2d1eb2b.jpg
https://www2.hm.com/en_in/productpage.1004271048.html,Navy blue/Boston,,"https://lp2.hm.com/hmgoepprod?set=source[/17/79/177976a471738d093655c9607a0db91de62ed339.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[y],hmver[2]&call=url[file:/product/fullscreen]",Printed T-shirt,,"Rs.1,399.00",/content/drive/MyDrive/images_temp_1000/240ea9d8-5e4f-479c-a27e-6967ce2db1bb.jpg
https://www2.hm.com/en_in/productpage.1210949004.html,Light khaki green,,"https://lp2.hm.com/hmgoepprod?set=source[/da/6d/da6d6158b7b2b80449acc4c2dcb63598f18d12a7.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[y],hmver[2]&call=url[file:/product/fullscreen]",Cropped one-shoulder top,,Rs.799.00,/content/drive/MyDrive/images_temp_1000/22590529-88d7-48b5-814c-61a3f058fe59.jpg
https://www2.hm.com/en_in/productpage.1163560044.html,Bright red/Oui,,"https://lp2.hm.com/hmgoepprod?set=source[/dc/84/dc849f262a83fbdb755ca71abcc804f7b2322ab6.jpg],origin[dam],category[ladies_tops_printed_tshirts],type[DESCRIPTIVESTILLLIFE],res[y],hmver[2]&call=url[file:/product/fullscreen]",Printed T-shirt,,Rs.999.00,/content/drive/MyDrive/images_temp_1000/b76596e8-33d8-4004-99cc-677eb1e4bf56.jpg
https://www2.hm.com/en_in/productpage.1202778002.html,Dark blue/Pinstriped,,"https://lp2.hm.com/hmgoepprod?set=source[/9e/f0/9ef05791e9b50daffd1928fc28cf94f1998f750b.jpg],origin[dam],category[ladies_shirtsblouses_shirts],type[DESCRIPTIVESTILLLIFE],res[y],hmver[2]&call=url[file:/product/fullscreen]",Oversized cotton shirt,,"Rs.1,499.00",/content/drive/MyDrive/images_temp_1000/1bdd9787-3c0c-40f4-a64d-e11796f5356c.jpg
https://www2.hm.com/en_in/productpage.1163560045.html,Light blue/Brooklyn,,"https://lp2.hm.com/hmgoepprod?set=source[/5e/2b/5e2b89706fbe96b355ce2e982dcd6db1d88af8ce.jpg],origin[dam],category[ladies_tops_printed_tshirts],type[DESCRIPTIVESTILLLIFE],res[y],hmver[2]&call=url[file:/product/fullscreen]",Printed T-shirt,,Rs.999.00,/content/drive/MyDrive/images_temp_1000/002cf84f-d488-46be-9cf9-0abb66245aaf.jpg
