product_title,product_details,product_color,product_url,image_url,image_path
Jeans,"82% cotton, 14% viscose, 4% polyester, Palazzo, blue, high rise waist",,https://www.thredup.com/product/women-cotton-shein-blue-jeans/164905507?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/584311847/retina.jpg,thredup_images\1e7ecc0a-15fa-424c-9875-73528c666805.jpg
Short Sleeve Blouse,"100% cotton, Short sleeve, high neck, polka dot print, ruffle accents, frills & ruffles, white, work",,https://www.thredup.com/product/women-cotton-easel-white-short-sleeve-blouse/163456190?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/577679869/retina.jpg,thredup_images\6cc4d97f-a273-4606-b447-2975f3cd2517.jpg
Short Sleeve Blouse,"80% cotton, 20% polyester, Short sleeve, v-neck, ruffle accents, bow & tie, frills & ruffles, multi color, black, boho",,https://www.thredup.com/product/women-cotton-john-galt-multi-color-short-sleeve-blouse/164304020?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/581256793/retina.jpg,thredup_images\62e3c744-a7c7-4970-916c-883d8239367f.jpg
Active Tank,"Material unknown, Sleeveless, scoop neckline, solid, black",,https://www.thredup.com/product/women-lululemon-athletica-black-active-tank/162715822?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/574633217/retina.jpg,thredup_images\9be908ed-b205-4f11-8850-12ba71633701.jpg
Casual Skirt,"88% polyester, 12% elastane, Mini silhouette, solid, black, mid rise waist",,https://www.thredup.com/product/women-polyester-unbranded-black-casual-skirt/161246994?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/568289074/retina.jpg,thredup_images\527f366a-a977-4a96-aedc-3b278f0074d3.jpg
Casual Dress,"Material unknown, Sleeveless, sweetheart neckline, mini silhouette, floral print, ruched detail, yellow, wedding, short",,https://www.thredup.com/product/women-bar-iii-yellow-casual-dress/158887249?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/557715761/retina.jpg,thredup_images\4bda2968-71e4-4559-929f-e0955a60d176.jpg
Cocktail Dress,"100% polyester, Sleeveless, v-neck, formal, solid, pleats, gray",,https://www.thredup.com/product/women-polyester-show-me-your-mumu-gray-cocktail-dress/156495413?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/547391646/retina.jpg,thredup_images\ca4267e0-16e3-40bd-9a25-6c8bae90684e.jpg
Casual Dress,"92% polyester, 8% spandex, Short sleeve, v-neck, a-line silhouette, floral print, bow & tie, black, knee length",,https://www.thredup.com/product/women-polyester-fortune-ivy-black-casual-dress/155098512?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/541425382/retina.jpg,thredup_images\f79eba57-24d4-43ad-93f9-3a771cb3129b.jpg
Casual Dress,"63% rayon, 32% nylon, 5% spandex, Sleeveless, v-neck, mini silhouette, solid, ruched detail, black, short",,https://www.thredup.com/product/women-rayon-superdown-black-casual-dress/165431266?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/586469218/retina.jpg,thredup_images\3c01ca24-ba18-41c4-b15d-d7f162a9cbd9.jpg
Jeans,"65% cotton, 23% viscose, 11% polyester, 1% elastane, Boyfriend, solid, whiskering, blue, boho, dark wash, boyfriend, mid rise waist",,https://www.thredup.com/product/women-cotton-american-eagle-outfitters-blue-jeans/165015323?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/584461157/retina.jpg,thredup_images\67ecdbf6-c7a2-418e-ac3e-f69efea42202.jpg
Jeans,"97% cotton, 2% polyester, 1% elastane, Boyfriend, solid, black, work, dark wash, boyfriend, low rise waist",,https://www.thredup.com/product/women-cotton-levis-black-jeans/163728366?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/578869409/retina.jpg,thredup_images\fa9a27b6-2c2a-4430-830a-496e058fd617.jpg
Jeans,"73% cotton, 25% polyester, 2% spandex, Boyfriend, solid, whiskering, blue, work, dark wash, boyfriend, high rise waist",,https://www.thredup.com/product/women-cotton-style-and-co-blue-jeans/157836453?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/555243318/retina.jpg,thredup_images\3451547f-31c5-41ae-b6e3-67cd41790717.jpg
Cocktail Dress,"100% polyester, Strapless neckline, strapless, formal, solid, ruched detail, tan",,https://www.thredup.com/product/women-polyester-show-me-your-mumu-tan-cocktail-dress/156296231?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/546445816/retina.jpg,thredup_images\1624d688-2b28-4f49-9c12-fceb9995984c.jpg
Jeans,"Material unknown, Boyfriend, solid, whiskering, blue, silver, boho, medium wash, boyfriend, mid rise waist",,https://www.thredup.com/product/women-miss-me-blue-jeans/165124923?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/585345280/retina.jpg,thredup_images\8f6adfd6-0353-4391-bfbc-f0fd6846611d.jpg
Casual Dress,"95% polyester, 5% spandex, Sleeveless, square, zip closure, lightweight, adjustable, a-line silhouette, midi, checkered pattern, ruffle accents, frills & ruffles, pleats, black, boho, calf length",,https://www.thredup.com/product/women-polyester-shein-black-casual-dress/164573761?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/582582338/retina.jpg,thredup_images\7694983a-c0cb-4a40-9819-20aac9713abd.jpg
Jacket,"100% nylon, Long sleeve, jacket, solid, bow & tie, drawstring, black, classic",,https://www.thredup.com/product/women-nylon-under-armour-black-jacket/164384799?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/581591311/retina.jpg,thredup_images\771d5d69-7619-450f-8a7c-58f3f924d61e.jpg
Zip Up Hoodie,"60% cotton, 40% polyester, Long sleeve, jacket, solid, black, classic",,https://www.thredup.com/product/women-cotton-victorias-secret-pink-black-zip-up-hoodie/164219649?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/580978825/retina.jpg,thredup_images\5407b1b2-f598-4fc0-9e57-f5001f0cb611.jpg
Turtleneck Sweater,"85% cotton, 15% nylon, Long sleeve, turtleneck neckline, color blocked detail, solid, color block, burgundy, work",,https://www.thredup.com/product/women-cotton-duluth-trading-co-burgundy-turtleneck-sweater/164209059?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/580915547/retina.jpg,thredup_images\5a103316-88e2-402f-b3ba-dc0b47aaad0a.jpg
Casual Dress,"60% polyester, 35% rayon, 5% spandex, Sleeveless, cold shoulder, a-line silhouette, midi, solid, red, calf length",,https://www.thredup.com/product/women-polyester-unbranded-red-casual-dress/151321695?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/525003043/retina.jpg,thredup_images\ad901170-55e4-41ea-93d1-224b9a070af7.jpg
Cocktail Dress,"95% polyester, 5% spandex, Strapless neckline, open neckline, formal, solid, ruched detail, black",,https://www.thredup.com/product/women-polyester-jessica-simpson-black-cocktail-dress/146621640?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/503735572/retina.jpg,thredup_images\32e5c08e-f441-4f33-ba87-87b9d0e15e0a.jpg
Dress Pants,"50% cotton, 39% polyester, 11% spandex, Boyfriend, solid, black, work, boyfriend, mid rise waist",,https://www.thredup.com/product/women-cotton-banana-republic-black-dress-pants/144617422?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/494758160/retina.jpg,thredup_images\1d43961c-fbb4-439d-a143-51df3f5cc3b3.jpg
Crossbody Bag,"100% cotton, Multi color, purple",,https://www.thredup.com/product/women-cotton-vera-bradley-multi-color-crossbody-bag/165093693?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/585875077/retina.jpg,thredup_images\7c46cb3c-0375-47a2-811e-7c986193ea90.jpg
Jeans,"100% cotton, Palazzo, tortoise, heart print, star print, blue, light wash, medium wash, distressed detail, high rise waist",,https://www.thredup.com/product/women-cotton-zara-blue-jeans/165035616?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/584561764/retina.jpg,thredup_images\6318eb59-11f7-43f7-b535-5675a1d989b3.jpg
Jeans,"98% cotton, 2% elastane, Boyfriend, solid, ripped, distressed, blue, boho, dark wash, distressed detail, boyfriend, high rise waist",,https://www.thredup.com/product/women-cotton-miss-me-blue-jeans/164406385?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/581702296/retina.jpg,thredup_images\8d71729e-b9c5-4969-a520-171df0a675a8.jpg
Active Pants,"89% organic cotton, 11% elastane, Black, high rise waist",,https://www.thredup.com/product/women-organic-cotton-pact-black-active-pants/164266024?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/581240411/retina.jpg,thredup_images\98048c50-f8ae-4008-a21a-634ea1739a98.jpg
Satchel,"Material unknown, Tan, gray, classic",,https://www.thredup.com/product/women-coach-tan-satchel/161931310?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/571359718/retina.jpg,thredup_images\8ef081ac-841c-49ae-af9b-d9d581d1e913.jpg
Jeans,"92% cotton, 6% elasterell, 2% elastane, Boyfriend, solid, whiskering, blue, this brand may run small, boho, dark wash, boyfriend, low rise waist",,https://www.thredup.com/product/women-cotton-true-religion-blue-jeans/161476136?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/569142818/retina.jpg,thredup_images\e812820e-633e-41b2-9d8f-3ee764728642.jpg
Jeans,"98% cotton, 2% elastane, Boyfriend, solid, whiskering, blue, this brand may run small, boho, dark wash, boyfriend, high rise waist",,https://www.thredup.com/product/women-cotton-j-brand-blue-jeans/161083471?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/567694425/retina.jpg,thredup_images\7fa811b2-6f68-4c8e-841a-c10e8bc93922.jpg
Casual Dress,"65% polyester, 33% viscose, 2% elastane, Sleeveless, square, mini silhouette, plaid print, multi color, black, short",,https://www.thredup.com/product/women-polyester-empyre-multi-color-casual-dress/160936428?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/566833238/retina.jpg,thredup_images\74c2e291-0d98-4f2d-bc31-f86ee82d5be9.jpg
Casual Dress,"100% polyester, Short sleeve, high neck, mini silhouette, solid, ruffle accents, frills & ruffles, black, short",,https://www.thredup.com/product/women-polyester-unbranded-black-casual-dress/156820481?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/548394476/retina.jpg,thredup_images\a5121e26-20f1-4093-9175-ed756f3e1b7e.jpg
Cocktail Dress,"100% polyester, Sleeveless, v-neck, bridesmaid, solid, pink",,https://www.thredup.com/product/women-polyester-show-me-your-mumu-pink-cocktail-dress/156512528?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/547129556/retina.jpg,thredup_images\6c535f2d-d462-438d-a710-640b6a5bf7e3.jpg
Cocktail Dress,"95% polyester, 5% elastane, Sleeveless, v-neck, formal, solid, ruched detail, red, burgundy",,https://www.thredup.com/product/women-polyester-nasty-gal-inc-red-cocktail-dress/156460522?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/547037647/retina.jpg,thredup_images\175038a8-6e72-4f96-aabd-29f99ab93e69.jpg
Leggings,"87% cotton, 13% elastane, Burgundy, mid rise waist",,https://www.thredup.com/product/women-cotton-victorias-secret-pink-burgundy-leggings/154291522?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/538972370/retina.jpg,thredup_images\ca14861d-88f3-468c-82da-98eb7a9ee697.jpg
Jeans,"87% cotton, 12% polyester, 1% spandex, Blue, high rise waist",,https://www.thredup.com/product/women-cotton-gap-blue-jeans/153543819?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/534511919/retina.jpg,thredup_images\635ebec5-3da5-4604-bac7-4805385e3eb3.jpg
Jeans,"95% cotton, 5% polyester, Boyfriend, solid, ripped, distressed, blue, distressed detail, medium wash, boyfriend, high rise waist",,https://www.thredup.com/product/women-cotton-american-eagle-outfitters-blue-jeans/153066298?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/532596941/retina.jpg,thredup_images\8f9084f5-c183-4fba-b30a-81b86a1aca3c.jpg
Casual Pants,"Material unknown, Solid, black, skinny leg cut, high rise waist",,https://www.thredup.com/product/women-abercrombie-and-fitch-black-casual-pants/143241736?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/487255013/retina.jpg,thredup_images\f352000b-2a7d-40c2-88de-6be7d2f2a414.jpg
Jeans,"98% cotton, 2% elastane, Palazzo, blue, dark wash, low rise waist",,https://www.thredup.com/product/women-cotton-miss-me-blue-jeans/165511282?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/586954488/retina.jpg,thredup_images\ccbf1cc3-d48c-4c8b-83a6-ef8cbab7a7fa.jpg
Leggings,"Material unknown, Black, skinny leg cut, high rise waist",,https://www.thredup.com/product/women-lululemon-athletica-black-leggings/165349988?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/585904273/retina.jpg,thredup_images\0d758bb6-05e8-4b69-8af2-202f1d511486.jpg
Casual Skirt,"100% polyester, Maxi silhouette, solid, brown, long, mid rise waist",,https://www.thredup.com/product/women-polyester-valentina-brown-casual-skirt/165173618?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/585321565/retina.jpg,thredup_images\1ffea576-ac76-4a72-974b-15ce37e315bb.jpg
Short Sleeve T-Shirt,"100% viscose, Short sleeve, blue",,https://www.thredup.com/product/women-viscose-lucky-brand-blue-short-sleeve-t-shirt/165100920?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/354594877/retina.jpg,thredup_images\9174614f-0ec3-4d99-8b13-3c9e19e5f11a.jpg
Jeans,"67% cotton, 32% polyester, 1% spandex, Boyfriend, solid, whiskering, blue, boho, dark wash, boyfriend, high rise waist",,https://www.thredup.com/product/women-cotton-old-navy-blue-jeans/165046585?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/584660401/retina.jpg,thredup_images\74c1370f-eec3-48d7-ab82-275aae160d10.jpg
Athletic Shorts,"Material unknown, Black, low rise waist",,https://www.thredup.com/product/women-lululemon-athletica-black-athletic-shorts/164994965?query_id=887782009224364032&result_id=887782011845804032,https://cf-assets-thredup.thredup.com/assets/584477510/retina.jpg,thredup_images\460150c3-0b06-4307-a886-75890861eb87.jpg
